timestep,reward,source
2560,-3161.8505859375,train
2560,-1299.614013671875,train
2560,-5020.41650390625,train
2560,-2227.909912109375,train
2560,-810.90087890625,train
2560,-1892.22607421875,train
2560,-927.8394165039062,train
2560,-760.76953125,train
2560,-2901.009521484375,train
2560,-1946.7330322265625,train
2560,-2121.38916015625,train
2800,-2294.177734375,train
2800,-927.8394165039062,eval
3040,-607.100341796875,train
3040,-2294.177734375,eval
3072,-2196.47119140625,train
3072,-2192.103271484375,train
3072,-811.5240478515625,train
3072,-3147.47119140625,train
3072,-2532.33984375,train
3072,-1521.36083984375,train
3072,-1347.7559814453125,train
3072,-1858.43115234375,train
3072,-2790.7890625,train
3072,-1486.9864501953125,train
3072,-1806.3948974609375,train
3072,-1827.3544921875,train
3072,-1850.33056640625,train
3072,-1272.0771484375,train
3072,-2412.260986328125,train
3072,-2356.2685546875,train
3072,-1874.8336181640625,train
3072,-852.4793701171875,train
3072,-2210.92529296875,train
3072,-1454.9144287109375,train
3072,-1761.9600830078125,train
3072,-993.20703125,train
3072,-1525.0997314453125,train
3072,-1442.1907958984375,train
3072,-1758.789794921875,train
3072,-1535.8587646484375,train
3072,-1940.328125,train
3072,-810.90087890625,train
3072,-1015.2196655273438,train
3072,-1267.411865234375,train
3072,-1285.9451904296875,train
3072,-1048.360595703125,train
3072,-1231.250732421875,train
3072,-4936.80859375,train
3072,79.44116973876953,train
3072,-402.008056640625,train
3072,-2105.4921875,train
3072,-2854.80908203125,train
3072,-2296.880615234375,train
3072,-1270.2615966796875,train
3280,-2237.981689453125,train
3280,-607.100341796875,eval
3520,-2237.981689453125,eval
3520,-2137.9736328125,train
3584,-1150.4903564453125,train
3584,-1468.112060546875,train
3584,-1728.6688232421875,train
3584,-1948.7525634765625,train
3584,-1528.18310546875,train
3584,-1774.879150390625,train
3584,-1521.82373046875,train
3584,-1362.4014892578125,train
3584,-1310.5919189453125,train
3584,-989.728271484375,train
3584,-1065.0628662109375,train
3584,-1791.35693359375,train
3584,-2434.466552734375,train
3584,-1910.236328125,train
3584,-1481.4720458984375,train
3584,-2414.75244140625,train
3584,-1631.028076171875,train
3584,-2248.15771484375,train
3584,-2321.525390625,train
3584,-852.4793701171875,train
3584,-1780.9776611328125,train
3584,-2845.85986328125,train
3584,-1909.10400390625,train
3584,-3111.4052734375,train
3584,-2511.69775390625,train
3584,-1298.2022705078125,train
3584,-1582.2628173828125,train
3584,-755.0992431640625,train
3584,-968.2715454101562,train
3584,-2214.108642578125,train
3584,27.844966888427734,train
3584,-4892.0146484375,train
3584,-1252.337890625,train
3584,-1424.077392578125,train
3584,-2821.4140625,train
3584,-1241.6817626953125,train
3584,-2202.419677734375,train
3584,-591.5615844726562,train
3584,-1817.477294921875,train
3584,-2108.783447265625,train
3760,-2137.9736328125,eval
3760,-2754.341552734375,train
4000,-2694.673583984375,train
4000,-2754.341552734375,eval
4096,-4882.66943359375,train
4096,-1276.7056884765625,train
4096,-2203.755126953125,train
4096,-1409.1865234375,train
4096,-1116.87939453125,train
4096,-1134.33251953125,train
4096,-1523.7908935546875,train
4096,-1324.15478515625,train
4096,-1106.1380615234375,train
4096,-1252.337890625,train
4096,-2442.69677734375,train
4096,-1412.440185546875,train
4096,-991.216064453125,train
4096,-1899.079833984375,train
4096,-2522.211181640625,train
4096,-2270.7744140625,train
4096,-1616.940673828125,train
4096,-1801.4569091796875,train
4096,-1464.236083984375,train
4096,-2226.864501953125,train
4096,-2024.1888427734375,train
4096,-573.892822265625,train
4096,-1818.98486328125,train
4096,-2858.6513671875,train
4096,-1479.382568359375,train
4096,-2126.580810546875,train
4096,-2425.09521484375,train
4096,-2359.8447265625,train
4096,-1105.2591552734375,train
4096,-3158.174560546875,train
4096,-750.0084228515625,train
4096,-1708.677490234375,train
4096,-1471.9615478515625,train
4096,-1504.409423828125,train
4096,-1335.398193359375,train
4096,-1647.0592041015625,train
4096,-1886.109619140625,train
4096,-34.69929885864258,train
4096,-1815.7332763671875,train
4096,-2872.038330078125,train
4240,-1853.6827392578125,train
4240,-2694.673583984375,eval
4480,-2371.446044921875,train
4480,-1853.6827392578125,eval
4608,-1447.79541015625,train
4608,-2419.658935546875,train
4608,-1132.6209716796875,train
4608,-602.0563354492188,train
4608,-1803.9993896484375,train
4608,-1517.6898193359375,train
4608,-1459.487060546875,train
4608,-2866.267333984375,train
4608,-1815.7332763671875,train
4608,-1170.1339111328125,train
4608,-850.091796875,train
4608,-1743.60546875,train
4608,-2136.411865234375,train
4608,-2210.017578125,train
4608,-4799.2841796875,train
4608,-1932.840576171875,train
4608,-1302.86474609375,train
4608,-2495.316650390625,train
4608,-1537.943115234375,train
4608,-1282.31689453125,train
4608,-1691.147705078125,train
4608,-1471.9615478515625,train
4608,-1329.67431640625,train
4608,-2858.115234375,train
4608,-1393.153076171875,train
4608,-1003.60888671875,train
4608,-2274.685546875,train
4608,-3172.428466796875,train
4608,-1882.983642578125,train
4608,-2284.780517578125,train
4608,-1183.66259765625,train
4608,-1181.263671875,train
4608,-1145.519287109375,train
4608,-2308.32958984375,train
4608,-1582.237548828125,train
4608,-2432.678466796875,train
4608,-1545.63720703125,train
4608,-49.10062789916992,train
4608,-1936.961669921875,train
4608,-1548.510009765625,train
4720,-2267.850830078125,train
4720,-2371.446044921875,eval
4960,-2267.850830078125,eval
4960,-2490.8525390625,train
5120,-1760.861572265625,train
5120,-2825.709716796875,train
5120,-1549.3966064453125,train
5120,-2239.974853515625,train
5120,-1565.25048828125,train
5120,-2152.884033203125,train
